LncRNAs	LncRNA1_id	Region	Organism
TCONS_00000078	pan_TCONS_00000078	ACC vs CB	Chimp
TCONS_00000121	pan_TCONS_00000121	ACC vs CB	Chimp
TCONS_00000251	pan_TCONS_00000251	ACC vs CB	Chimp
TCONS_00000258	pan_TCONS_00000258	ACC vs CB	Chimp
TCONS_00000325	pan_TCONS_00000325	ACC vs CB	Chimp
TCONS_00000391	pan_TCONS_00000391	ACC vs CB	Chimp
TCONS_00000502	pan_TCONS_00000502	ACC vs CB	Chimp
TCONS_00000624	pan_TCONS_00000624	ACC vs CB	Chimp
TCONS_00000742	pan_TCONS_00000742	ACC vs CB	Chimp
TCONS_00001044	pan_TCONS_00001044	ACC vs CB	Chimp
TCONS_00001079	pan_TCONS_00001079	ACC vs CB	Chimp
TCONS_00001080	pan_TCONS_00001080	ACC vs CB	Chimp
TCONS_00001111	pan_TCONS_00001111	ACC vs CB	Chimp
TCONS_00001117	pan_TCONS_00001117	ACC vs CB	Chimp
TCONS_00001440	pan_TCONS_00001440	ACC vs CB	Chimp
TCONS_00001470	pan_TCONS_00001470	ACC vs CB	Chimp
TCONS_00001526	pan_TCONS_00001526	ACC vs CB	Chimp
TCONS_00001553	pan_TCONS_00001553	ACC vs CB	Chimp
TCONS_00001819	pan_TCONS_00001819	ACC vs CB	Chimp
TCONS_00001856	pan_TCONS_00001856	ACC vs CB	Chimp
TCONS_00001992	pan_TCONS_00001992	ACC vs CB	Chimp
TCONS_00002179	pan_TCONS_00002179	ACC vs CB	Chimp
TCONS_00002245	pan_TCONS_00002245	ACC vs CB	Chimp
TCONS_00002310	pan_TCONS_00002310	ACC vs CB	Chimp
TCONS_00002449	pan_TCONS_00002449	ACC vs CB	Chimp
TCONS_00002475	pan_TCONS_00002475	ACC vs CB	Chimp
TCONS_00002497	pan_TCONS_00002497	ACC vs CB	Chimp
TCONS_00002517	pan_TCONS_00002517	ACC vs CB	Chimp
TCONS_00002518	pan_TCONS_00002518	ACC vs CB	Chimp
TCONS_00002569	pan_TCONS_00002569	ACC vs CB	Chimp
TCONS_00002601	pan_TCONS_00002601	ACC vs CB	Chimp
