Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out
TCONS_00000021	6.33577771861569	96.5263357145412	18.302270702067	391.36232049678	18.816883731181	213.182070705671	9.8910177985898	153.803562090498	5.03721935900517	47.6398458145919	16.5825028643164	0	3.91526192354453	52.501416881988	3.51585095385247	682.405641959247
TCONS_00000044	0	0	0	0	0	68.9256829501294	0	0	0	0	0	0	0	0	0	0
TCONS_00000049	95.5961163504155	262.362935043659	531.528444972531	331.631928885379	227.485136348676	0	176.065176159041	0	352.953092166979	507.234431073182	318.097050137609	0	289.004625607957	0	407.887998277081	234.945320588176
TCONS_00000075	199.103635433278	420.412895913334	1982.24141884493	9276.21881082248	415.539515730248	2371.9795212776	172.103709695463	437.284637316121	0	0	220.547288095408	1053.46880942223	42.1712562910026	0	76.1011609688711	0
TCONS_00000094	18.2337013502056	125.972095165367	50.8234369694849	0	57.5805333575403	279.462314506888	52.0895005131544	0	40.5929416397714	121.931353623361	75.529893183359	0	74.5106782636789	0	136.3056349798	112.713178661547
TCONS_00000203	92.7302798859491	344.464662989207	140.329198494309	0	41.9266327530519	152.333273517134	93.749153790533	219.287281249973	50.7137864008343	473.533598358812	73.7616348145179	0	50.8383549765766	149.753057208663	77.859273598515	183.243281476706
TCONS_00000256	0	0	99.996392783186	115.494423929213	0	0	0	0	3.94809084895	0	6.40381208174821	0	0	0	0	0
TCONS_00000298	156.861725716516	0	27.3357485985872	0	213.170066209088	0	248.11013001104	0	173.104926460613	0	546.873370617011	0	243.426737660181	0	189.235507222059	0
TCONS_00000299	735.368615774801	0	823.503723472088	241.763071706201	953.296536087041	535.554958114246	831.834596861404	0	888.008749630939	0	598.628353401824	0	1122.1507728684	0	958.793236591766	0
TCONS_00000301	133.041599713482	0	161.27285308901	0	61.4097806497903	0	116.878580438345	0	50.765168149974	0	71.8395075229344	0	103.334747429608	0	37.685878435064	0
TCONS_00000302	1106.30550186943	0	607.461079968606	57.8730228839191	1217.17978040876	126.193984383242	1233.86100845498	0	908.93824878049	112.491506891229	852.47708554057	0	1372.96394217843	0	675.244648310555	0
TCONS_00000304	140.933564430213	0	269.598658535143	93.5754029193091	78.6510124410565	0	70.0748003646019	0	117.663923985968	0	163.943602261845	0	184.147819137377	0	50.7341073125808	0
TCONS_00000347	5.66078963486774	0	194.293909970691	43.9705648726984	16.7556256342842	0	20.5164504064754	0	18.0754765382483	0	14.7720889548164	0	7.0196119112088	0	15.6753221929236	0
TCONS_00000415	166.55784887207	0	79.6670268811287	0	54.6762520697694	665.386463111638	228.861316084392	0	102.255552987805	0	92.6669277711798	0	193.355210094246	0	36.0173433593131	0
TCONS_00000416	180.262996165512	0	208.968933386238	164.96641828113	58.5122341813838	0	107.350118323018	0	145.183591742119	64.4888897573392	65.2185179187998	81.0738589340797	94.2557557669988	70.8329171899446	30.0526877711466	0
TCONS_00000436	761.407309129461	0	1162.62727834115	0	738.661963838671	0	702.898814350279	0	727.646819077377	0	1158.8984418918	0	834.11417317917	0	668.642226158841	182.424011961907
TCONS_00000441	39.9124799140444	0	7.90621796054584	68.773378650405	47.7022403261766	0	104.0949857029	0	102.674633123001	0	55.5534730718912	0	219.59049562407	0	149.9695250389	731.513020078324
TCONS_00000456	0	0	142.567396319163	0	72.0588755601587	0	60.3570124182483	0	11.6388434295063	0	263.057356984027	0	73.0503745338358	0	1047.5268015454	0
TCONS_00000461	151.504515592087	0	35.7831211201703	0	135.502015998994	0	144.798794214932	0	87.0554032193473	0	220.887114425294	0	45.4063115681206	0	0	0
TCONS_00000493	81.5892071286374	147.492512972765	132.085186387146	211.936265429178	64.2114041967269	325.300048632358	87.7103783659234	104.591471464989	147.53288739534	48.8237551785525	54.671105201763	122.49637318863	76.8377134061099	214.143710237863	110.409289478787	64.9256605515063
TCONS_00000556	131.548874268386	2008.06650189548	354.254382225406	1802.62738950779	240.094117392915	1598.0595489288	223.934842074692	1329.97116622511	293.832185673788	2413.98986724491	206.350381825794	902.334067532487	190.771841408507	1684.17522087331	262.126221115001	2031.4025229613
TCONS_00000560	22.3798659983144	0	0	0	27.8511739765581	248.712415823283	35.2350634044395	0	47.1301314182475	0	58.8649345450378	0	4.58459300756957	0	145.369295160608	0
TCONS_00000561	69.0120170625309	0	0	0	89.4702306596229	0	113.825204825041	0	23.4684875709716	0	128.824350523019	0	18.7268968614283	0	334.036954341241	0
TCONS_00000562	738.535577944373	0	280.366652293203	0	501.513208639953	0	321.089010625863	0	508.483897371052	0	419.51929800757	0	223.532034791036	0	1134.19999520914	0
TCONS_00000696	74.879032922314	0	19.4907298385649	0	183.927326634699	0	286.839516159104	0	196.351061846908	0	177.860716205975	0	141.289886806173	0	337.019427147858	0
TCONS_00000759	69.288065130781	0	239.787268408661	0	300.390011371263	0	478.065860265172	0	479.858460948359	0	501.243836580473	0	98.0668859311482	0	1179.5679950175	0
TCONS_00000795	4849.70811603787	59.2432433969553	1866.67727698686	60.0819168871222	4632.28950085867	0	4288.99538383275	62.9986341896105	3126.01059884641	0	3049.75546819431	0	3708.34513850972	64.4972895820268	1655.1664583727	130.497347576162
TCONS_00000806	1578.48034023369	4724.02522518317	1711.28836478847	6017.08449516057	1214.63444274235	6221.78071920982	1189.39947795102	5020.58354875434	1053.23809626793	4476.85794317124	1205.48837433391	8013.43804093799	1106.16943010555	7127.93938400347	579.0865852202	3888.70144102312
TCONS_00000807	283.740578342192	513.548518090883	370.239124629087	644.218123155207	314.060747362154	476.972142680492	322.562258032257	402.450671621179	445.093588093182	375.548569159952	263.833941557768	1144.8973306584	305.828533549709	206.004592430949	510.28930212218	428.494207793838
TCONS_00000824	690.075466484702	0	493.647830222795	45.2919309526324	693.130481969742	0	798.158051671253	23.7578741910324	448.158066554355	0	544.361585963739	0	643.140477836286	0	290.768305763664	58.8210052986255
TCONS_00000827	11.3067991401405	0	0	0	0	0	12.2232748363254	0	104.749590865556	0	0	0	0	0	0	0
TCONS_00000907	114.867481980738	306.090090884269	54.1301952447273	154.665021855714	55.8187409189885	0	163.90829494806	161.60519205161	0	147.140789604562	162.167123599565	0	118.099551465777	165.73976701961	120.637635854063	0
TCONS_00000930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.7829069949181	0
TCONS_00000964	65.2956995039671	0	104.467829039187	0	27.4736869904296	0	28.7638512025843	0	63.675619076655	0	45.442435733944	0	58.1213526998563	0	48.9340434614249	0
TCONS_00000965	0	0	63.2040430025139	0	0	0	0	0	35.7894435457317	0	151.752721166566	0	29.0759714427439	0	38.9939833063637	0
TCONS_00001001	576.817898414676	0	3.58032070708412	33.0394496314912	177.337727998683	0	129.679867370101	0	54.7972341370055	0	0	0	176.141392218362	0	14.653018571646	0
TCONS_00001002	64.1556158618342	0	98.175528075734	0	0	0	20.6855420307046	0	44.184498204607	0	0	0	0	0	96.291264899388	0
TCONS_00001006	280.518482310854	0	0	0	243.242643354291	0	325.601612937361	0	23.7803611599546	0	157.533777211006	0	170.858801261484	462.459289130703	106.267386938514	0
TCONS_00001024	20.8698991357775	0	246.422890930662	26.7106259464242	5.18129071982853	58.2213155222684	14.5480735160999	55.9777020660698	0	0	13.6929193767845	0	12.8574893113763	0	0	0
TCONS_00001068	495.859244733644	0	0	0	90.5220936756763	0	158.320512165739	0	421.052277008609	0	90.5738349467795	0	204.248461367162	0	9.45545486987979	0
TCONS_00001096	0	0	0	0	0	0	0	0	0	0	34.6772465558818	0	0	0	0	0
TCONS_00001097	43.890243959532	0	29.4407631648759	0	67.9973753013134	0	32.4723980557476	0	44.3212923166957	0	19.8691250536404	0	34.7448715353543	0	24.9644020109525	0
TCONS_00001098	108.520985064618	0	85.6081381047948	0	156.399511734457	0	151.950301311049	0	53.7876030167067	0	63.9169992954967	0	77.0851335923907	0	51.4408816724774	0
