Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out	Normalize_type
TCONS_00000003	6.449028029	15.37316499	3.19775855	2.892291511	2.30774749	4.467940743	4.30854473	3.035648886	3.847884866	13.90979363	6.814611907	4.141645342	7.069751963	3.021955641	5.641522708	10.30225719	Counts
TCONS_00000021	0.921289718	2.562194166	2.798038731	11.56916605	3.076996654	5.957254324	0.718090788	1.517824443	0.641314144	1.390979363	0.619510173	22.08877516	2.570818896	0	1.538597102	4.415253081	Counts
TCONS_00000049	4.606448592	2.562194166	27.98038731	3.615364389	11.53873745	0	17.95226971	6.071297771	16.67416775	0	22.92187641	2.761096895	15.42491337	0	8.205851211	0	Counts
TCONS_00000074	1.842579437	0	4.396918006	2.892291511	0	0	0	0	0	0	0	0	0	0	0	0	Counts
TCONS_00000075	1.842579437	1.281097083	24.78262876	31.81520663	2.30774749	7.446567905	0	0	0.641314144	0	0.619510173	0	1.285409448	3.021955641	0.512865701	1.471751027	Counts
TCONS_00000094	0.921289718	1.281097083	2.798038731	0	3.076996654	2.978627162	2.154272365	1.517824443	4.489199011	0	8.053632253	1.380548447	3.856228344	0	2.564328504	0	Counts
TCONS_00000152	14.74063549	20.49755333	11.99159456	4.338437267	8.461740797	22.33970371	10.05327104	12.14259554	10.90234045	19.47371109	8.053632253	9.663839131	6.427047239	6.043911282	10.25731401	8.830506163	Counts
TCONS_00000203	9.212897184	6.405485414	14.78963329	0	4.61549498	2.978627162	5.026635518	10.6247711	5.771827299	2.781958727	9.2926526	4.141645342	7.712456687	0	9.744448314	4.415253081	Counts
TCONS_00000256	0	0	19.58627112	4.338437267	0	0	0.718090788	0	0	0	0	0	1.285409448	0	0	0	Counts
TCONS_00000268	6.449028029	0	10.39271529	0.723072878	4.61549498	0	6.462817095	0	5.130513155	1.390979363	8.673142427	0	3.856228344	0	5.128657007	0	Counts
TCONS_00000292	0.921289718	0	0	0	0	0	0.718090788	0	0	0	8.673142427	0	0.642704724	0	0	0	Counts
TCONS_00000298	12.89805606	0	2.398318913	0	19.23122909	0	14.36181577	0	23.0873092	0	18.5853052	0	46.91744485	0	21.02749373	0	Counts
TCONS_00000299	16.58321493	0	21.58487021	1.446145756	20.00047825	2.978627162	23.69699602	0	33.34833551	0	23.54138659	0	12.21138975	0	14.87310532	0	Counts
TCONS_00000301	9.212897184	0	11.99159456	0	4.61549498	0	3.590453942	0	8.337083877	0	3.097550867	0	5.141637792	0	8.205851211	0	Counts
TCONS_00000302	134.5082989	0	77.94536466	1.446145756	165.3885701	2.978627162	109.1497998	3.035648886	189.1876726	0	99.12162773	0	109.9025078	0	158.9883672	0	Counts
TCONS_00000304	10.1341869	0	20.78543058	1.446145756	6.153993307	0	8.61708946	0	15.39153947	0	4.336571213	0	12.21138975	0	5.128657007	0	Counts
TCONS_00000338	6.449028029	2.562194166	4.396918006	0	9.230989961	1.489313581	11.48945261	6.071297771	5.130513155	5.563917454	11.15118312	1.380548447	7.712456687	0	4.615791306	0	Counts
TCONS_00000347	0.921289718	0	33.17674496	1.446145756	3.076996654	0	2.872363153	0	1.282628289	0	3.097550867	0	2.570818896	0	3.590059905	0	Counts
TCONS_00000415	2.763869155	0	1.598879275	0	0.769249163	2.978627162	2.154272365	0	4.489199011	0	0.619510173	0	1.285409448	0	2.564328504	0	Counts
TCONS_00000416	39.61545789	0	47.96637825	7.230728779	14.6157341	0	30.8779039	3.035648886	23.0873092	2.781958727	8.053632253	0	15.42491337	3.021955641	25.64328504	0	Counts
TCONS_00000436	103.1844485	0	165.8837248	0	112.3103779	0	96.94225643	0	127.6215147	0	109.6533007	5.522193789	167.1032282	0	101.5474087	0	Counts
TCONS_00000441	1.842579437	0	0.399719819	0.723072878	2.30774749	0	5.026635518	0	12.18496874	0	8.053632253	8.283290684	2.570818896	0	4.615791306	0	Counts
TCONS_00000456	0	0	9.193555832	0	4.61549498	0	0.718090788	0	5.130513155	0	73.72171063	0	16.0676181	0	3.590059905	0	Counts
TCONS_00000461	11.05547662	0	2.798038731	0	10.76948829	0	6.462817095	0	3.847884866	0	0	0	16.71032282	0	10.77017971	0	Counts
TCONS_00000493	23.95353268	7.686582497	40.3717017	12.29223892	21.53897658	17.87176297	41.64926572	3.035648886	25.01125163	11.12783491	39.64865109	4.141645342	17.35302755	6.043911282	28.20761354	5.887004109	Counts
