Ids	Chimpanzee_GENKI_DPFC.bam.out	Chimpanzee_IYO_DPFC.bam.out	Chimpanzee_KENNY_DPFC.bam.out	Chimpanzee_MAYUMI_DPFC.bam.out	Chimpanzee_REIKO_DPFC.bam.out	Chimpanzee_YOSHIO_DPFC.bam.out	Chimpanzee_GENKI_PMC.bam.out	Chimpanzee_KENNY_PMC.bam.out	Chimpanzee_MAYUMI_PMC.bam.out	Chimpanzee_REIKO_PMC.bam.out	Chimpanzee_YOSHIO_PMC.bam.out	Chimpanzee_GENKI_STR.bam.out	Chimpanzee_IYO_STR.bam.out	Chimpanzee_KENNY_STR.bam.out	Chimpanzee_MAYUMI_STR.bam.out	Chimpanzee_REIKO_STR.bam.out	Chimpanzee_YOSHIO_STR.bam.out	Chimpanzee_GENKI_V1C.bam.out	Chimpanzee_IYO_V1C.bam.out	Chimpanzee_KENNY_V1C.bam.out	Chimpanzee_MAYUMI_V1C.bam.out	Chimpanzee_REIKO_V1C.bam.out	Chimpanzee_GENKI_VPFC.bam.out	Chimpanzee_IYO_VPFC.bam.out	Chimpanzee_KENNY_VPFC.bam.out	Chimpanzee_MAYUMI_VPFC.bam.out	Chimpanzee_REIKO_VPFC.bam.out	Chimpanzee_YOSHIO_VPFC.bam.out	Chimpanzee_IYO_ACC.bam.out	Chimpanzee_KENNY_ACC.bam.out	Chimpanzee_MAYUMI_ACC.bam.out	Chimpanzee_REIKO_ACC.bam.out	Chimpanzee_YOSHIO_ACC.bam.out	Chimpanzee_IYO_CB.bam.out	Chimpanzee_KENNY_CB.bam.out	Chimpanzee_MAYUMI_CB.bam.out	Chimpanzee_REIKO_CB.bam.out	Chimpanzee_YOSHIO_CB.bam.out	Chimpanzee_IYO_HIP.bam.out	Chimpanzee_KENNY_HIP.bam.out	Chimpanzee_MAYUMI_HIP.bam.out	Chimpanzee_REIKO_HIP.bam.out	Chimpanzee_YOSHIO_HIP.bam.out
TCONS_00000004	0	0	2.999956599	5.574620288	0.835867893	0	2.764848393	1.903036843	2.824635335	0.757598441	1.442727017	0	2.190102671	2.519017896	4.062175517	0.639857496	0	1.831249251	1.066913781	1.673454289	0.952813673	2.37285263	3.389947701	3.263848546	4.892953141	5.307538223	0	0	0	3.319831901	4.254741861	2.844370354	2.828876572	4.475308965	3.992743011	6.913894728	2.684232432	1.1809801	0	6.512656031	2.881587202	0	1.011348488
TCONS_00000005	0.823409579	1.468242322	7.499891497	16.72386086	3.343471574	5.06853679	11.05939357	1.903036843	15.06472179	13.63677195	1.442727017	1.748583779	2.190102671	6.549446528	8.124351034	10.23771993	0.8105132	7.324997003	3.200741344	3.346908579	17.15064612	0	8.474869253	5.222157673	20.55040319	23.883922	7.307760013	6.84980776	0	9.295529323	9.360432095	4.740617256	7.072191431	5.753968669	12.47732191	23.2109323	1.789488288	8.857350752	5.465337122	6.512656031	0.960529067	8.804000283	1.011348488
TCONS_00000006	0	0	0	1.114924058	0	0	1.382424197	0	1.883090223	0	0	0	0	0	0	0.639857496	0	1.831249251	1.066913781	0	0	0	0	0	1.467885942	1.769179408	1.461552003	1.369961552	0	0.66396638	0.850948372	0	0.707219143	0	0	2.469248117	0.894744144	0.59049005	0	0	0	0	0
TCONS_00000010	0	7.34121161	5.999913198	2.229848115	1.671735787	0	0	0.951518422	2.824635335	0	1.442727017	0	0	1.007607158	0	0.639857496	0	0	0	0	0	0	0	2.611078837	1.467885942	0.884589704	0	0	2.836972621	0	1.701896745	0.948123451	0	0.639329852	2.495464382	3.456947364	3.578976576	1.1809801	0	0	2.881587202	0	1.011348488
TCONS_00000017	1.646819158	0	0	0	0.835867893	3.041122074	0	0	0	1.515196883	0	0	0	0	0	0	0.8105132	0	0	0	5.716882039	0	0	0	0.489295314	5.307538223	0	0	0	0	6.807586978	0	0	0.639329852	0	1.975398494	3.578976576	0.59049005	0	0	0.960529067	0	0
TCONS_00000028	0.823409579	0	0	2.229848115	0	0	0	0.951518422	0	0.757598441	0	1.748583779	0	3.526625054	3.046631638	0.639857496	0	0	0	3.346908579	0	0	0	1.305539418	1.467885942	0.884589704	0	2.739923104	0	0.66396638	0	0	0	0	0.499092876	0	0	0	0.91088952	8.140820038	0	0	0
TCONS_00000035	4.940457474	10.27769625	4.499934898	13.37908869	30.92711206	6.082244148	11.05939357	10.46670264	8.473906005	29.54633922	10.09908912	12.24008645	19.71092404	10.57987516	16.24870207	30.0733023	0	12.81874476	16.00370672	10.04072574	24.7731555	34.01088769	5.084921552	16.97201244	17.12533599	12.38425585	24.84638404	8.219769312	24.11426728	14.60726037	24.6775028	54.99116017	9.901068004	20.45855527	17.96734355	11.35854134	39.36874233	3.542940301	33.70291225	13.83939406	9.605290673	32.28133437	2.022696977
TCONS_00000040	1.646819158	2.936484644	32.99952259	1.114924058	2.50760368	5.06853679	4.14727259	8.563665794	2.824635335	9.091181298	0	3.497167558	1.460068447	3.526625054	5.077719396	2.559429983	3.2420528	1.831249251	2.133827563	0	1.905627346	11.07331227	0	3.263848546	8.807315653	3.538358815	2.923104005	8.219769312	1.418486311	13.2793276	5.105690234	2.844370354	4.950534002	4.475308965	4.990928764	6.420045105	0	7.085880601	1.821779041	13.02531206	1.921058135	2.934666761	0
TCONS_00000068	9.057505368	8.809453933	34.49950089	27.87310144	65.19769569	10.13707358	1.382424197	49.47895792	32.95407891	53.0318909	11.54181614	0	10.22047913	30.22821475	16.24870207	23.67472734	5.6735924	32.96248651	7.46839647	53.55053726	37.15973325	46.66610172	6.779895403	16.31924273	54.31177986	30.07604993	20.46172804	12.32965397	11.34789048	36.51815091	20.42276093	60.67990088	28.99598487	28.76984334	100.816761	77.53439088	55.47413693	45.46773386	5.465337122	30.12103414	15.36846508	38.15066789	6.06809093
TCONS_00000078	0	0	2.999956599	0	0.835867893	1.013707358	0	0	0	0	0	0	0	0	1.015543879	6.398574957	0	0	2.133827563	0	0	3.954754383	0	0	0	1.769179408	5.84620801	1.369961552	0	1.991899141	0.850948372	0.948123451	0	29.4091732	29.94557258	23.2109323	33.10553333	8.266860702	0	0.814082004	0	2.934666761	0
