Ids	Human_Hs1_ACC.bam.out	Human_Hs2_ACC.bam.out	Human_Hs5_ACC.bam.out	Human_Hs6_ACC.bam.out	Human_Hs8_ACC.bam.out	Human_Hs1_CB.bam.out	Human_Hs2_CB.bam.out	Human_Hs3_CB.bam.out	Human_Hs6_CB.bam.out	Human_Hs8_CB.bam.out	Human_Hs1_DPFC.bam.out	Human_Hs2_DPFC.bam.out	Human_Hs3_DPFC.bam.out	Human_Hs5_DPFC.bam.out	Human_Hs6_DPFC.bam.out	Human_Hs8_DPFC.bam.out	Human_Hs1_PMC.bam.out	Human_Hs2_PMC.bam.out	Human_Hs3_PMC.bam.out	Human_Hs5_PMC.bam.out	Human_Hs6_PMC.bam.out	Human_Hs8_PMC.bam.out	Human_Hs1_STR.bam.out	Human_Hs2_STR.bam.out	Human_Hs5_STR.bam.out	Human_Hs8_STR.bam.out	Human_Hs6_STR.bam.out	Human_Hs1_V1C.bam.out	Human_Hs2_V1C.bam.out	Human_Hs5_V1C.bam.out	Human_Hs8_V1C.bam.out	Human_Hs6_V1C.bam.out	Human_Hs4_HIP.bam.out	Human_Hs6_HIP.bam.out	Human_Hs7_HIP.bam.out	Human_Hs9_HIP.bam.out	Human_Hs6_VPFC.bam.out	Human_Hs5_VPFC.bam.out	Human_Hs2_VPFC.bam.out	Human_Hs8_VPFC.bam.out
TCONS_00000002	0.701319449	0	0	0.795271853	0	0	0	0	0.620031075	0	0	0.912384582	0	0	0.958157702	0	0	1.187149298	0	0	0	0.848250252	0	0	0	0	0.266689959	0	0	0	0	0	0	0	0	0	0	1.528107258	0	0
TCONS_00000009	2.805277796	4.200020909	1.27896752	1.988179632	1.330097298	2.566851743	0	7.936404936	1.24006215	3.540767708	3.721267911	0.912384582	6.664283879	2.016134116	0	1.764232095	2.434022334	3.561447895	0	0.939557146	0	3.817126133	0	1.752274795	5.052505282	7.365870546	1.333449796	0	2.697201124	0	1.079540209	0.935182448	4.083708653	2.170600363	2.77598215	0.847285571	0	4.584321775	2.277728585	0
TCONS_00000014	0.701319449	1.050005227	1.27896752	0.795271853	0	0	4.555710055	1.587280987	0	0	0.930316978	0	0	0	0	0	1.622681556	1.187149298	0	0	3.567619928	0	0.975691766	0	0	0	1.866829715	0	1.348600562	1.878044985	0	0	0	0	0	0	0	0	0	0
TCONS_00000019	17.53298622	11.5500575	14.06864272	9.145626305	11.97087569	21.81823981	15.18570018	11.11096691	11.16055935	18.71548645	10.23348675	10.94861498	9.996425818	19.1532741	3.832630806	13.23174072	10.54743011	5.935746492	15.89188798	18.79114292	10.70285979	8.482502519	12.68399295	14.89433576	20.21002113	14.73174109	6.133869062	6.733848074	26.97201124	28.17067478	14.03402271	5.61109469	8.984159037	17.36480291	13.87991075	5.083713425	12.00988108	15.28107258	17.08296439	7.390665182
TCONS_00000031	11.22111118	21.00010455	23.02141536	14.71252927	18.62136218	23.74337862	18.22284022	14.28552888	30.38152267	29.84361354	10.23348675	14.59815331	13.32856776	37.29848115	14.37236552	46.16407317	8.113407779	10.68434368	20.4324274	34.76361441	0	38.17126133	11.70830119	8.761373975	11.78917899	23.32525673	8.534078696	16.35363104	8.091603372	5.634134956	36.70436709	11.22218938	22.86876846	13.02360218	15.73056552	27.11313827	9.826266338	19.86539436	17.08296439	21.2481624
TCONS_00000032	8.415833388	12.60006273	17.90554528	7.952718526	26.60194597	26.31023036	45.55710055	7.936404936	19.8409944	25.29119791	15.81538862	20.0724608	13.32856776	37.29848115	12.45605012	30.87406167	10.54743011	16.62009018	20.4324274	33.82405726	3.567619928	32.23350957	14.63537649	18.39888535	13.47334742	23.32525673	5.333799185	8.657804666	8.091603372	15.02435988	22.67034438	6.546277138	17.15157634	2.170600363	11.1039286	18.64028256	3.275422113	24.44971613	19.36069298	22.17199554
TCONS_00000069	7.714513939	18.90009409	6.3948376	17.49598076	10.64077839	0	0	0	0	0	8.372852799	1.824769164	0	6.048402349	10.53973472	12.64366335	1.622681556	4.155022544	0	7.51645717	32.10857936	6.786002015	1.951383532	0.876137397	6.736673709	9.821160728	9.600838532	0	1.348600562	3.75608997	1.079540209	7.481459587	0	8.682401453	0.925327383	5.083713425	10.91807371	1.528107258	7.972050049	12.00983092
TCONS_00000070	0	4.200020909	0	3.976359263	0	0	0	0	0	0	0.930316978	0	0	3.024201174	0.958157702	0.882116048	0	0	0	1.879114292	3.567619928	0.424125126	0	0	1.684168427	0	2.133519674	0	0	0	0	0.935182448	0	0	0	0	3.275422113	1.528107258	1.138864293	0
TCONS_00000071	5.610555592	5.250026137	5.11587008	11.92907779	3.990291895	0	0	0	0	0	3.721267911	0.912384582	3.332141939	2.016134116	5.748946209	1.470193413	0	0.593574649	0	1.879114292	7.135239857	1.696500504	0.975691766	3.50454959	1.684168427	3.682935273	4.267039348	0.961978296	1.348600562	3.75608997	1.079540209	3.740729793	0	5.426500908	0.925327383	0.847285571	7.642651596	6.112429033	1.138864293	3.695332591
TCONS_00000081	43.48180584	37.80018819	12.7896752	33.79905374	18.62136218	56.47073834	45.55710055	58.72939652	71.9236047	44.51250832	40.00363004	13.68576873	23.32499358	31.2500788	65.15472371	37.93099005	55.17117289	29.67873246	15.89188798	23.48892866	53.51429893	23.32688193	26.34367768	25.40798453	35.36753697	54.01638401	48.80426254	40.40308844	36.41221518	30.04871976	32.38620626	59.85167669	14.70135115	35.81490599	12.95458337	9.32014128	53.49856117	25.97782339	13.66637151	26.79116128
