Ortho_No	Organism1	LncRNA1	LncRNA_Id1	Organism2	LncRNA2
Ortho1	Human	TCONS_00000009	hsa_TCONS_00000009	Chimp	TCONS_00036053
Ortho2	Human	TCONS_00000019	hsa_TCONS_00000019	Chimp	TCONS_00027528
Ortho3	Human	TCONS_00000019	hsa_TCONS_00000019	Chimp	TCONS_00027587
Ortho4	Human	TCONS_00000019	hsa_TCONS_00000019	Chimp	TCONS_00046198
Ortho5	Human	TCONS_00000067	hsa_TCONS_00000067	Chimp	TCONS_00000228
Ortho6	Human	TCONS_00000067	hsa_TCONS_00000067	Chimp	TCONS_00020157
Ortho7	Human	TCONS_00000068	hsa_TCONS_00000068	Chimp	TCONS_00000228
Ortho8	Human	TCONS_00000068	hsa_TCONS_00000068	Chimp	TCONS_00020157
Ortho9	Human	TCONS_00000069	hsa_TCONS_00000069	Chimp	TCONS_00000228
Ortho10	Human	TCONS_00000069	hsa_TCONS_00000069	Chimp	TCONS_00020157
Ortho11	Human	TCONS_00000070	hsa_TCONS_00000070	Chimp	TCONS_00000228
Ortho12	Human	TCONS_00000070	hsa_TCONS_00000070	Chimp	TCONS_00020157
Ortho13	Human	TCONS_00000071	hsa_TCONS_00000071	Chimp	TCONS_00000228
Ortho14	Human	TCONS_00000071	hsa_TCONS_00000071	Chimp	TCONS_00020157
Ortho15	Human	TCONS_00000094	hsa_TCONS_00000094	Chimp	TCONS_00000053
Ortho16	Human	TCONS_00000094	hsa_TCONS_00000094	Chimp	TCONS_00002569
Ortho17	Human	TCONS_00000650	hsa_TCONS_00000650	Chimp	TCONS_00000306
Ortho18	Human	TCONS_00000705	hsa_TCONS_00000705	Chimp	TCONS_00000338
Ortho19	Human	TCONS_00000705	hsa_TCONS_00000705	Chimp	TCONS_00000339
Ortho20	Human	TCONS_00000705	hsa_TCONS_00000705	Chimp	TCONS_00000340
Ortho21	Human	TCONS_00000706	hsa_TCONS_00000706	Chimp	TCONS_00000338
Ortho22	Human	TCONS_00000706	hsa_TCONS_00000706	Chimp	TCONS_00000339
Ortho23	Human	TCONS_00000706	hsa_TCONS_00000706	Chimp	TCONS_00000340
Ortho24	Human	TCONS_00000707	hsa_TCONS_00000707	Chimp	TCONS_00000338
Ortho25	Human	TCONS_00000707	hsa_TCONS_00000707	Chimp	TCONS_00000339
Ortho26	Human	TCONS_00000707	hsa_TCONS_00000707	Chimp	TCONS_00000340
Ortho27	Human	TCONS_00000745	hsa_TCONS_00000745	Chimp	TCONS_00000359
Ortho28	Human	TCONS_00000812	hsa_TCONS_00000812	Chimp	TCONS_00000390
Ortho29	Human	TCONS_00000826	hsa_TCONS_00000826	Chimp	TCONS_00000391
Ortho30	Human	TCONS_00000860	hsa_TCONS_00000860	Chimp	TCONS_00000413
Ortho31	Human	TCONS_00000861	hsa_TCONS_00000861	Chimp	TCONS_00000413
Ortho32	Human	TCONS_00000863	hsa_TCONS_00000863	Chimp	TCONS_00000413
Ortho33	Human	TCONS_00000988	hsa_TCONS_00000988	Chimp	TCONS_00000477
Ortho34	Human	TCONS_00001006	hsa_TCONS_00001006	Chimp	TCONS_00000485
Ortho35	Human	TCONS_00001006	hsa_TCONS_00001006	Chimp	TCONS_00000486
Ortho36	Human	TCONS_00001007	hsa_TCONS_00001007	Chimp	TCONS_00000485
Ortho37	Human	TCONS_00001007	hsa_TCONS_00001007	Chimp	TCONS_00000486
Ortho38	Human	TCONS_00001008	hsa_TCONS_00001008	Chimp	TCONS_00000485
Ortho39	Human	TCONS_00001008	hsa_TCONS_00001008	Chimp	TCONS_00000486
Ortho40	Human	TCONS_00001045	hsa_TCONS_00001045	Chimp	TCONS_00000515
Ortho41	Human	TCONS_00001046	hsa_TCONS_00001046	Chimp	TCONS_00000516
Ortho42	Human	TCONS_00001114	hsa_TCONS_00001114	Chimp	TCONS_00000541
Ortho43	Human	TCONS_00001115	hsa_TCONS_00001115	Chimp	TCONS_00000541
Ortho44	Human	TCONS_00001372	hsa_TCONS_00001372	Chimp	TCONS_00000677
Ortho45	Human	TCONS_00001413	hsa_TCONS_00001413	Chimp	TCONS_00000700
Ortho46	Human	TCONS_00001636	hsa_TCONS_00001636	Chimp	TCONS_00000774
Ortho47	Human	TCONS_00001830	hsa_TCONS_00001830	Chimp	TCONS_00000883
Ortho48	Human	TCONS_00001863	hsa_TCONS_00001863	Chimp	TCONS_00000901
Ortho49	Human	TCONS_00001955	hsa_TCONS_00001955	Chimp	TCONS_00000940
Ortho50	Human	TCONS_00001982	hsa_TCONS_00001982	Chimp	TCONS_00000954
