LncRNAs	LncRNA1_id	Region	Organism
TCONS_00000069	hsa_TCONS_00000069	ACC vs CB	Human
TCONS_00000071	hsa_TCONS_00000071	ACC vs CB	Human
TCONS_00000173	hsa_TCONS_00000173	ACC vs CB	Human
TCONS_00000174	hsa_TCONS_00000174	ACC vs CB	Human
TCONS_00000328	hsa_TCONS_00000328	ACC vs CB	Human
TCONS_00000365	hsa_TCONS_00000365	ACC vs CB	Human
TCONS_00000398	hsa_TCONS_00000398	ACC vs CB	Human
TCONS_00000500	hsa_TCONS_00000500	ACC vs CB	Human
TCONS_00000519	hsa_TCONS_00000519	ACC vs CB	Human
TCONS_00000549	hsa_TCONS_00000549	ACC vs CB	Human
TCONS_00000603	hsa_TCONS_00000603	ACC vs CB	Human
TCONS_00000780	hsa_TCONS_00000780	ACC vs CB	Human
TCONS_00000826	hsa_TCONS_00000826	ACC vs CB	Human
TCONS_00001143	hsa_TCONS_00001143	ACC vs CB	Human
TCONS_00001304	hsa_TCONS_00001304	ACC vs CB	Human
TCONS_00001323	hsa_TCONS_00001323	ACC vs CB	Human
TCONS_00001358	hsa_TCONS_00001358	ACC vs CB	Human
TCONS_00001612	hsa_TCONS_00001612	ACC vs CB	Human
TCONS_00002055	hsa_TCONS_00002055	ACC vs CB	Human
TCONS_00002089	hsa_TCONS_00002089	ACC vs CB	Human
TCONS_00002107	hsa_TCONS_00002107	ACC vs CB	Human
TCONS_00002162	hsa_TCONS_00002162	ACC vs CB	Human
TCONS_00002173	hsa_TCONS_00002173	ACC vs CB	Human
TCONS_00002201	hsa_TCONS_00002201	ACC vs CB	Human
TCONS_00002229	hsa_TCONS_00002229	ACC vs CB	Human
TCONS_00002300	hsa_TCONS_00002300	ACC vs CB	Human
TCONS_00002301	hsa_TCONS_00002301	ACC vs CB	Human
TCONS_00002313	hsa_TCONS_00002313	ACC vs CB	Human
TCONS_00002335	hsa_TCONS_00002335	ACC vs CB	Human
TCONS_00002437	hsa_TCONS_00002437	ACC vs CB	Human
TCONS_00002593	hsa_TCONS_00002593	ACC vs CB	Human
TCONS_00002596	hsa_TCONS_00002596	ACC vs CB	Human
TCONS_00002688	hsa_TCONS_00002688	ACC vs CB	Human
TCONS_00002692	hsa_TCONS_00002692	ACC vs CB	Human
TCONS_00002697	hsa_TCONS_00002697	ACC vs CB	Human
TCONS_00002774	hsa_TCONS_00002774	ACC vs CB	Human
TCONS_00002907	hsa_TCONS_00002907	ACC vs CB	Human
TCONS_00003000	hsa_TCONS_00003000	ACC vs CB	Human
TCONS_00003023	hsa_TCONS_00003023	ACC vs CB	Human
TCONS_00003056	hsa_TCONS_00003056	ACC vs CB	Human
TCONS_00003127	hsa_TCONS_00003127	ACC vs CB	Human
TCONS_00003184	hsa_TCONS_00003184	ACC vs CB	Human
TCONS_00003211	hsa_TCONS_00003211	ACC vs CB	Human
TCONS_00003361	hsa_TCONS_00003361	ACC vs CB	Human
TCONS_00003563	hsa_TCONS_00003563	ACC vs CB	Human
TCONS_00003807	hsa_TCONS_00003807	ACC vs CB	Human
TCONS_00003919	hsa_TCONS_00003919	ACC vs CB	Human
TCONS_00003945	hsa_TCONS_00003945	ACC vs CB	Human
